group,category,code,name_df,name,source,frequency,original,order,transf,tcode,transf_code,days_lag,where
0,Produção,22099,gdp,PIB trimestral - Dados observados - preços de mercado,IBGE,Q,Index,I(1),pctchg,2,3,63,BCB
0,Produção,24363,ibc_br,Índice de Atividade Econômica do Banco Central - IBC-Br        ,BCB,M,Index,I(1),diff,2,3,52,BCB
0,Produção,4380,mon_gdp,PIB mensal - Valores correntes (R$ milhões)	,BCB,M,R$,I(1),diff,2,4,48,BCB
0,Produção,21859,ind_prod,Indicadores da produção (2012=100) - Produção Industrial - Geral	,IBGE,M,Index,I(1),diff,2,3,30,BCB
0,Produção,21861,ind_prod_ext,Indicadores da produção (2012=100) - Produção Industrial - Extrativa mineral	,IBGE,M,Index,I(1),diff,2,3,30,BCB
0,Produção,21862,ind_prod_transf,Indicadores da produção (2012=100) - Indústria de transformação,IBGE,M,Index,I(1),diff,2,3,30,BCB
0,Produção,21863,ind_cap_goods,Indicadores da produção (2012=100) - Produção Industrial - Bens de capital	,IBGE,M,Index,I(1),diff,2,3,30,BCB
0,Produção,21864,ind_prod_int_goods,Indicadores da produção (2012=100) - Bens intermediários,IBGE,M,Index,I(1),diff,2,3,30,BCB
0,Produção,21865,ind_prod_man,Indicadores da produção (2012=100) - Produção Industrial - Bens de consumo	,IBGE,M,Index,I(1),diff,2,3,30,BCB
0,Produção,21866,ind_prod_dur_goods,Indicadores da produção (2012=100) - Bens de consumo duráveis	,IBGE,M,Index,I(1),diff,2,3,30,BCB
0,Produção,21867,ind_prod_nondur_goods,Indicadores da produção (2012=100) - Semiduráveis e não duráveis,IBGE,M,Index,I(1),diff,2,3,30,BCB
0,Produção,21868,ind_prod_cc_materials,Indicadores da produção (2012=100) - Insumos da construção civil,IBGE,M,Index,I(1),diff,2,3,30,BCB
0,Produção,1338,ind_real_sales,Vendas industriais reais (1992=100) - Indústria de transformação,CNI ,M,Index,I(1),diff,2,3,32,BCB
0,Produção,1373,vehi_prod,Produção total de autoveículos,Anfavea,M,Units,I(0),none,0,3,6,BCB
0,Produção,1374,pass_cars_prod,Produção de automóveis e comerciais leves	,Anfavea,M,Units,I(0),none,0,3,6,BCB
0,Produção,1375,truck_prod,Produção de caminhões,Anfavea,M,Units,I(1),diff,2,3,6,BCB
0,Produção,1376,bus_prod,Produção de ônibus	,Anfavea,M,Units,I(0),none,0,3,6,BCB
0,Produção,None,nuci_gv,Nível de Utilização da capacidade instalada (NUCI),FGV,M,Percentage,I(0),none,0,3,-1,FGVDados
0,Produção,7357,steel_prod,Produção de aço bruto (1992=100)	,BCB-Depec,M,Index,I(0),none,0,3,20,BCB
0,Produção,28553,road_flow_gross_vehi,Tráfego de veículos pesados nas estradas pedagiadas - ABCR - Dados dessazonalizados,BCB-Depec,M,Index,I(1),diff,2,3,10,BCB
1,Preços,433,ipca,Índice nacional de preços ao consumidor-amplo (IPCA)        ,IBGE,M,Monthly var %,I(0),none,0,5,11,BCB
1,Preços,11427,ipca_ex,Índice nacional de preços ao consumidor - Amplo (IPCA) - Núcleo por exclusão - EX0	,BCB-Depec,M,Monthly var %,I(1),diff,2,5,11,BCB
1,Preços,16121,ipca_exi,Índice nacional de preços ao consumidor - Amplo (IPCA) - Núcleo por exclusão - EX1	,BCB-Depec,M,Monthly var %,I(0),none,0,5,11,BCB
1,Preços,27838,ipca_exii,Índice nacional de preços ao consumidor - Amplo (IPCA) - Núcleo por exclusão - EX2,BCB-Depec,M,Monthly var %,I(0),none,0,5,11,BCB
1,Preços,27839,ipca_exiii,Índice nacional de preços ao consumidor - Amplo (IPCA) - Núcleo por exclusão - EX3,BCB-Depec,M,Monthly var %,I(0),none,0,5,11,BCB
1,Preços,188,inpc,Índice nacional de preços ao consumidor (INPC)	,IBGE,M,Monthly var %,I(0),none,0,5,10,BCB
1,Preços,189,igpm,Índice geral de preços do mercado (IGP-M)	,FGV,M,Monthly var %,I(0),none,0,5,-2,BCB
1,Preços,190,igpdi,Índice geral de preços-disponibilidade interna (IGP-DI)	,FGV,M,Monthly var %,I(0),none,0,5,8,BCB
1,Preços,7456,incc_m,Índice Nacional de Custo da Construção-Mercado (INCC-M)	,FGV,M,Monthly var %,I(1),diff,2,5,-4,BCB
1,Preços,7461,incc_di_mo,INCC-DI - Mão-de-obra	,FGV,M,Monthly var %,I(1),diff,2,5,-4,BCB
1,Preços,7462,incc_di_servmat,INCC-DI - Materiais e serviços	,FGV,M,Monthly var %,I(0),none,0,5,-4,BCB
1,Preços,7450,ipatac_m,Índice de Preços por Atacado-Mercado (IPA-M)	,FGV,M,Monthly var %,I(0),none,0,5,0,BCB
1,Preços,191,ipc_br,Índice de preços ao consumidor-Brasil (IPC-Br)	,FGV,M,Monthly var %,I(0),none,0,5,0,BCB
1,Preços,225,ipa,Índice de preços ao produtor amplo (IPA)	,FGV,M,Monthly var %,I(0),none,0,5,0,BCB
1,Preços,193,ipc_fipe,Índice de preços ao consumidor-São Paulo (IPC-Fipe)	,Fipe,M,Monthly var %,I(0),none,0,5,17,BCB
1,Preços,27574,commdt_index_br,Índice de Commodities - Brasil (IC-Br),BCB-Depec,M,Index,I(1),diff,2,1,8,BCB
1,Preços,27575,commdt_index_agro,Índice de Commodities - Brasil (IC-Br) - Agropecuária,BCB-Depec,M,Index,I(1),diff,2,1,8,BCB
1,Preços,27576,commdt_index_metal,Índice de Commodities - Brasil (IC-Br) - Metal,BCB-Depec,M,Index,I(2),diff_diff,,1,8,BCB
1,Preços,7495,sinapi,Custo da Construção - SINAPI,IBGE,M,Monthly var %,I(0),none,0,5,10,BCB
1,Preços,7493,ccb_sp,Custo da Cesta Básica - São Paulo ,Dieese,M,u.m.c,I(1),diff,2,4,10,BCB
